sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
1,"<img src=""docs/img/icon.png"" width=125 height=125 align=""right"">  [!","<img src=""docs/img/icon.png"" width=125 height=125 align=""right"">  [!","<img align=""center"" src=""docs/img/task.png"" width=""1000"">  Statutory article retrieval is the task of automatically retrieving law articles relevant to a legal question.","<img align=""center"" src=""docs/img/task.png"" width=""1000"">  Statutory article retrieval is the task of automatically retrieving law articles relevant to a legal question.",../results/deepseek-chat/prompt-0/zzz_maastrichtlawtech_bsard_master_README.md.tsv\b97d4017.txt,0.3037974683544304
2,[License: MIT](https://img.shields.io/badge/License-MIT-yellow.svg)](https://opensource.org/licenses/MIT) [!,[License: <LICENSE>MIT</LICENSE>](https://img.shields.io/badge/License-<LICENSE>MIT</LICENSE>-yellow.svg)](https://opensource.org/licenses/<LICENSE>MIT</LICENSE>) [!,[License: MIT](https://img.shields.io/badge/License-MIT-yellow.svg)](https://opensource.org/licenses/MIT) [!,[<LICENSE>License: MIT</LICENSE>](https://img.shields.io/badge/License-MIT-yellow.svg)](https://opensource.org/licenses/MIT) [!,../results/deepseek-chat/prompt-0/zzz_maastrichtlawtech_bsard_master_README.md.tsv\6fa9f96d.txt,1.0
3,[Python: 3.8+](https://img.shields.io/badge/Python-3.8+-blue.svg)](https://www.python.org/downloads/) [!,[<PROGLANG>Python: 3.8+</PROGLANG>](https://img.shields.io/badge/<PROGLANG>Python-3.8</PROGLANG>+-blue.svg)](https://www.<PROGLANG>python</PROGLANG>.org/downloads/) [!,[Python: 3.8+](https://img.shields.io/badge/Python-3.8+-blue.svg)](https://www.python.org/downloads/) [!,[<PROGLANG>Python</PROGLANG>: 3.8+](https://img.shields.io/badge/<PROGLANG>Python</PROGLANG>-3.8+-blue.svg)](https://www.<PROGLANG>python</PROGLANG>.org/downloads/) [!,../results/deepseek-chat/prompt-0/zzz_maastrichtlawtech_bsard_master_README.md.tsv\82c21d04.txt,1.0
4,[arXiv](https://img.shields.io/badge/arXiv-2108.11792-b31b1b.svg?,[arXiv](https://img.shields.io/badge/arXiv-2108.11792-b31b1b.svg?,[arXiv](https://img.shields.io/badge/arXiv-2108.11792-b31b1b.svg?,[arXiv](https://img.shields.io/badge/arXiv-2108.11792-b31b1b.svg?,../results/deepseek-chat/prompt-0/zzz_maastrichtlawtech_bsard_master_README.md.tsv\146cddce.txt,1.0
5,style=plastic)](https://arxiv.org/abs/2108.11792) [!,style=plastic)](https://arxiv.org/abs/2108.11792) [!,style=plastic)](https://arxiv.org/abs/2108.11792) [!,style=plastic)](https://arxiv.org/abs/2108.11792) [!,../results/deepseek-chat/prompt-0/zzz_maastrichtlawtech_bsard_master_README.md.tsv\a90e60f1.txt,1.0
6,[Loader: Hugging Face Datasets](https://img.shields.io/static/v1.svg?,[Loader: Hugging Face Datasets](https://img.shields.io/static/v1.svg?,[Loader: Hugging Face Datasets](https://img.shields.io/static/v1.svg?,[Loader: <SOFTWARE>Hugging Face Datasets</SOFTWARE>](https://img.shields.io/static/v1.svg?,../results/deepseek-chat/prompt-0/zzz_maastrichtlawtech_bsard_master_README.md.tsv\c008d047.txt,1.0
7,"label=🤗 %20Datasets&message=BSARD&color=FF9900)](https://huggingface.co/datasets/maastrichtlawtech/bsard)  # A Statutory Article Retrieval Dataset in French  This repository contains the code for reproducing the experimental results presented in the ACL 2022 paper [""A Statutory Article Retrieval Dataset in French""](https://aclanthology.org/2022.acl-long.468/) by [Antoine Louis](https:/antoinelouis.co/work/) and [Jerry Spanakis](https://dke.maastrichtuniversity.nl/jerry.spanakis/).","label=🤗 %20Datasets&message=<DATASET>BSARD</DATASET>&color=FF9900)](https://huggingface.co/datasets/maastrichtlawtech/bsard)  # <PUBLICATION>A Statutory Article Retrieval Dataset in French</PUBLICATION>  This repository contains the code for reproducing the experimental results presented in the <CONFERENCE>ACL 2022</CONFERENCE> paper [""<PUBLICATION>A Statutory Article Retrieval Dataset in French</PUBLICATION>""](https://aclanthology.org/2022.acl-long.468/) by [Antoine Louis](https:/antoinelouis.co/work/) and [Jerry Spanakis](https://dke.maastrichtuniversity.nl/jerry.spanakis/).","label=🤗 %20Datasets&message=BSARD&color=FF9900)](https://huggingface.co/datasets/maastrichtlawtech/bsard)  # A Statutory Article Retrieval Dataset in French  This repository contains the code for reproducing the experimental results presented in the ACL 2022 paper [""A Statutory Article Retrieval Dataset in French""](https://aclanthology.org/2022.acl-long.468/) by [Antoine Louis](https:/antoinelouis.co/work/) and [Jerry Spanakis](https://dke.maastrichtuniversity.nl/jerry.spanakis/).","label=🤗 %20<DATASET>Datasets</DATASET>&message=<DATASET>BSARD</DATASET>&color=FF9900)](https://huggingface.co/datasets/maastrichtlawtech/bsard)  # A Statutory Article Retrieval Dataset in French  This repository contains the code for reproducing the experimental results presented in the <PUBLICATION>ACL 2022 paper [""A Statutory Article Retrieval Dataset in French""]</PUBLICATION>(https://aclanthology.org/2022.acl-long.468/) by [Antoine Louis](https:/antoinelouis.co/work/) and [Jerry Spanakis](https://dke.maastrichtuniversity.nl/jerry.spanakis/).",../results/deepseek-chat/prompt-0/zzz_maastrichtlawtech_bsard_master_README.md.tsv\c07eeb7c.txt,1.0
8,"<img align=""center"" src=""docs/img/task.png"" width=""1000"">  Statutory article retrieval is the task of automatically retrieving law articles relevant to a legal question.","<img align=""center"" src=""docs/img/task.png"" width=""1000"">  Statutory article retrieval is the task of automatically retrieving law articles relevant to a legal question.","<img align=""center"" src=""docs/img/task.png"" width=""1000"">  Statutory article retrieval is the task of automatically retrieving law articles relevant to a legal question.","<img align=""center"" src=""docs/img/task.png"" width=""1000"">  Statutory article retrieval is the task of automatically retrieving law articles relevant to a legal question.",../results/deepseek-chat/prompt-0/zzz_maastrichtlawtech_bsard_master_README.md.tsv\b97d4017.txt,1.0
9,"While recent advances in natural language processing have sparked considerable interest in many legal tasks, statutory article retrieval remains primarily untouched due to the scarcity of large-scale and high-quality annotated datasets.","While recent advances in natural language processing have sparked considerable interest in many legal tasks, statutory article retrieval remains primarily untouched due to the scarcity of large-scale and high-quality annotated datasets.","While recent advances in natural language processing have sparked considerable interest in many legal tasks, statutory article retrieval remains primarily untouched due to the scarcity of large-scale and high-quality annotated `datasets`.","While recent advances in natural language processing have sparked considerable interest in many legal tasks, statutory article retrieval remains primarily untouched due to the scarcity of large-scale and high-quality annotated `<DATASET>datasets</DATASET>`.",../results/deepseek-chat/prompt-0/zzz_maastrichtlawtech_bsard_master_README.md.tsv\ae60ac7a.txt,0.9620253164556962
10,"To address this bottleneck, we introduce the Belgian Statutory Article Retrieval Dataset (BSARD), which consists of 1,100+ French native legal questions labeled by experienced jurists with relevant articles from a corpus of 22,600+ Belgian law articles.","To address this bottleneck, we introduce the <DATASET>Belgian Statutory Article Retrieval Dataset</DATASET> (<DATASET>BSARD</DATASET>), which consists of 1,100+ French native legal questions labeled by experienced jurists with relevant articles from a corpus of 22,600+ Belgian law articles.","To address this bottleneck, we introduce the Belgian Statutory Article Retrieval Dataset (BSARD), which consists of 1,100+ French native legal questions labeled by experienced jurists with relevant articles from a corpus of 22,600+ Belgian law articles.","To address this bottleneck, we introduce the <DATASET>Belgian Statutory Article Retrieval Dataset (BSARD)</DATASET>, which consists of 1,100+ French native legal questions labeled by experienced jurists with relevant articles from a corpus of 22,600+ Belgian law articles.",../results/deepseek-chat/prompt-0/zzz_maastrichtlawtech_bsard_master_README.md.tsv\c6f6ad0e.txt,1.0
