sentence_idx,original_sentence,original_annotated,de_annotated_content,generated_annotated,source_file,similarity_score
0, , ,- make a folder called **cora** in **dataset** directory,- make a folder called **cora** in **<DATASET>dataset</DATASET>** directory,../results/deepseek-chat/prompt-0/zzz_Leo-Q-316_ImGAGN_main_README.md.tsv\9075f114.txt,0.03508771929824561
1,"# ImGAGN: Imbalanced Networks Embedding via Generative Adversarial Graph Networks  This is our Pytorch implementation for the [paper](https://arxiv.org/abs/2106.02817):  > Liang Qu, Huaisheng Zhu, Ruiqi Zheng, Yuhui Shi, and Hongzhi Yin. 2021.","# <PUBLICATION>ImGAGN: Imbalanced Networks Embedding via Generative Adversarial Graph Networks</PUBLICATION><PROJECT>ImGAGN</PROJECT>: Imbalanced Networks Embedding via Generative Adversarial Graph Networks  This is our <SOFTWARE>Pytorch</SOFTWARE> implementation for the [paper](https://arxiv.org/abs/2106.02817):  > Liang Qu, Huaisheng Zhu, Ruiqi Zheng, Yuhui Shi, and Hongzhi Yin. 2021.","# ImGAGN: Imbalanced Networks Embedding via Generative Adversarial Graph Networks  This is our Pytorch implementation for the paper(https://arxiv.org/abs/2106.02817):  > Liang Qu, Huaisheng Zhu, Ruiqi Zheng, Yuhui Shi, and Hongzhi Yin. 2021.","# <SOFTWARE>ImGAGN</SOFTWARE>: Imbalanced Networks Embedding via Generative Adversarial Graph Networks  This is our <PROGLANG>Pytorch</PROGLANG> implementation for the <PUBLICATION>paper</PUBLICATION>(https://arxiv.org/abs/2106.02817):  > Liang Qu, Huaisheng Zhu, Ruiqi Zheng, Yuhui Shi, and Hongzhi Yin. 2021.",../results/deepseek-chat/prompt-0/zzz_Leo-Q-316_ImGAGN_main_README.md.tsv\e07c9df3.txt,0.9752066115702479
2,ImGAGN:Imbalanced Network Embedding via Generative Adversarial Graph Networks.,<PUBLICATION>ImGAGN:Imbalanced Network Embedding via Generative Adversarial Graph Networks</PUBLICATION><PROJECT>ImGAGN</PROJECT>:Imbalanced Network Embedding via Generative Adversarial Graph Networks.,`ImGAGN:Imbalanced Network Embedding via Generative Adversarial Graph Networks.`,`<PUBLICATION>ImGAGN:Imbalanced Network Embedding via Generative Adversarial Graph Networks</PUBLICATION>.`,../results/deepseek-chat/prompt-0/zzz_Leo-Q-316_ImGAGN_main_README.md.tsv\4bcba4e0.txt,0.9873417721518988
3,"In Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD ’21), August 14–18, 2021, Virtual Event, Singapore.","In <PUBLICATION>Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery and Data Mining</PUBLICATION><CONFERENCE>ACM SIGKDD Conference on Knowledge Discovery and Data Mining</CONFERENCE> (<CONFERENCE>KDD ’21</CONFERENCE>), August 14–18, 2021, Virtual Event, Singapore.","In Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD ’21), August 14–18, 2021, Virtual Event, Singapore.","In <PUBLICATION>Proceedings of the 27th ACM SIGKDD Conference on Knowledge Discovery and Data Mining (KDD ’21)</PUBLICATION>, August 14–18, 2021, Virtual Event, Singapore.",../results/deepseek-chat/prompt-0/zzz_Leo-Q-316_ImGAGN_main_README.md.tsv\09f01daa.txt,1.0
4,"ACM, New York, NY, USA, 9 pages. https://doi.org/10.11453447548.3467334  ## Introduction  This work presents a generative adversarial graph network model, called ImGAGN to address the imbalanced classification problem on graphs.","ACM, New York, NY, USA, 9 pages. https://doi.org/10.11453447548.3467334  ## Introduction  This work presents a generative adversarial graph network model, called <PROJECT>ImGAGN</PROJECT> to address the imbalanced classification problem on graphs.","ACM, New York, NY, USA, 9 pages. https://doi.org/10.11453447548.3467334  ## Introduction  This work presents a generative adversarial graph network model, called ImGAGN to address the imbalanced classification problem on graphs.","<PUBLICATION>ACM</PUBLICATION>, New York, NY, USA, 9 pages. https://doi.org/10.11453447548.3467334  ## Introduction  This work presents a generative adversarial graph network model, called <SOFTWARE>ImGAGN</SOFTWARE> to address the imbalanced classification problem on graphs.",../results/deepseek-chat/prompt-0/zzz_Leo-Q-316_ImGAGN_main_README.md.tsv\26bb6c47.txt,1.0
5,"It introduces a novel generator for graph structure data, named **GraphGenerator**, which can simulate both the minority class nodes’ attribute distribution and network topological structure distribution by generating a set of synthetic minority nodes such that the number of nodes in different classes can be balanced.   ## Requirements  + PyTorch >= 0.4  + Python >= 3.6  ## Usage  ### Dataset  The datasets can be downloaded from [Cora](https://relational.fit.cvut.cz/dataset/CORA), [Citeseer](https://linqs.soe.ucsc.edu/data), [Pubmed](https://linqs.soe.ucsc.edu/data) and [DBLP](https://www.aminer.cn/citation#b541).","It introduces a novel generator for graph structure data, named **<SOFTWARE>GraphGenerator</SOFTWARE>**, which can simulate both the minority class nodes’ attribute distribution and network topological structure distribution by generating a set of synthetic minority nodes such that the number of nodes in different classes can be balanced.   ## Requirements  + <SOFTWARE>PyTorch >= 0.4</SOFTWARE>  + <SOFTWARE>Python >= 3.6</SOFTWARE>  ## Usage  ### Dataset  The datasets can be downloaded from [<DATASET>Cora</DATASET>](https://relational.fit.cvut.cz/dataset/<DATASET>CORA</DATASET>), [<DATASET>Citeseer</DATASET>](https://linqs.soe.ucsc.edu/data), [<DATASET>Pubmed</DATASET>](https://linqs.soe.ucsc.edu/data) and [<DATASET>DBLP</DATASET>](https://www.aminer.cn/citation#b541).","It introduces a novel generator for graph structure data, named **GraphGenerator**, which can simulate both the minority class nodes’ attribute distribution and network topological structure distribution by generating a set of synthetic minority nodes such that the number of nodes in different classes can be balanced.   ## Requirements  + PyTorch >= 0.4  + Python >= 3.6  ## Usage  ### Dataset  The datasets can be downloaded from [Cora](https://relational.fit.cvut.cz/dataset/CORA), [Citeseer](https://linqs.soe.ucsc.edu/data), [Pubmed](https://linqs.soe.ucsc.edu/data) and [DBLP](https://www.aminer.cn/citation#b541).","It introduces a novel generator for graph structure data, named **<SOFTWARE>GraphGenerator</SOFTWARE>**, which can simulate both the minority class nodes’ attribute distribution and network topological structure distribution by generating a set of synthetic minority nodes such that the number of nodes in different classes can be balanced.   ## Requirements  + <PROGLANG>PyTorch</PROGLANG> >= 0.4  + <PROGLANG>Python</PROGLANG> >= 3.6  ## Usage  ### Dataset  The datasets can be downloaded from [<DATASET>Cora</DATASET>](https://relational.fit.cvut.cz/dataset/CORA), [<DATASET>Citeseer</DATASET>](https://linqs.soe.ucsc.edu/data), [<DATASET>Pubmed</DATASET>](https://linqs.soe.ucsc.edu/data) and [<DATASET>DBLP</DATASET>](https://www.aminer.cn/citation#b541).",../results/deepseek-chat/prompt-0/zzz_Leo-Q-316_ImGAGN_main_README.md.tsv\c03ab78d.txt,1.0
6,Take Cora dataset as an example:  - make a folder called **dataset** at root directory,Take <DATASET>Cora</DATASET> dataset as an example:  - make a folder called **dataset** at root directory,Take Cora dataset as an example:  - make a folder called **dataset** at root directory,Take <DATASET>Cora</DATASET> dataset as an example:  - make a folder called **dataset** at root directory,../results/deepseek-chat/prompt-0/zzz_Leo-Q-316_ImGAGN_main_README.md.tsv\802dadf6.txt,1.0
7,.,.,.,.,../results/deepseek-chat/prompt-0/zzz_Leo-Q-316_ImGAGN_main_README.md.tsv\cdb4ee2a.txt,1.0
8,- make a folder called **cora** in **dataset** directory,- make a folder called **<DATASET>cora</DATASET>** in **dataset** directory,- make a folder called **cora** in **dataset** directory,- make a folder called **cora** in **<DATASET>dataset</DATASET>** directory,../results/deepseek-chat/prompt-0/zzz_Leo-Q-316_ImGAGN_main_README.md.tsv\9075f114.txt,1.0
9,.,.,.,.,../results/deepseek-chat/prompt-0/zzz_Leo-Q-316_ImGAGN_main_README.md.tsv\cdb4ee2a.txt,1.0
